system:index,distance_dep,distance_nac,distance_vec,elevation,first,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_0,6526.191698785321,15654.846187824034,6698.872847256175,393,0,-13.039874999999995,-70.578375,0,0.0,1571.5,1224.5,347.0,3.9,5.4300985,
1_1_1_1_1,12924.144844051083,29637.730118683023,2491.5733403835925,330,0,-12.905375000000006,-70.60912499999999,0,-3.0,1571.5,1224.5,347.0,7.3,3.3671362,
1_1_1_1_2,2008.8399748196953,18223.468349786734,649.2655531790685,417,0,-13.008875000000003,-70.515875,0,0.0,1571.5,1224.5,347.0,0.0,3.401341,
1_1_1_1_3,39982.61276861396,2983.867374244385,7070.007579137903,257,0,-12.922875000000005,-69.993375,0,0.0,1571.5,1224.5,347.0,0.0,1.9024856,
1_1_1_1_4,12957.350538140954,19566.16907260423,6328.457725724277,303,0,-12.872875000000008,-70.493625,0,0.0,1571.5,1224.5,347.0,0.0,0.0,
1_1_1_1_5,31106.360703763883,0.0,4525.91714928989,245,0,-12.897125000000003,-70.074625,0,6.0,1571.5,1224.5,347.0,3.6,1.9022912,
1_1_1_1_6,13838.745775985039,33931.86303478957,1703.8158530009925,285,0,-12.727374999999995,-70.540375,0,26.5,1571.5,1224.5,347.0,-4.0,2.0835671,
1_1_1_1_7,39918.95516621771,637.1592379705799,5345.897529005303,251,0,-12.896875000000009,-69.994125,0,-33.5,1571.5,1224.5,347.0,20.6,3.8003936,
1_1_1_1_8,7198.646977294478,20913.364293231287,5060.496821442929,350,0,-12.925624999999997,-70.532125,0,0.0,1571.5,1224.5,347.0,0.0,1.3285913,
1_1_1_1_9,49293.77463706845,13353.769239679717,7405.79844699903,244,0,-12.773875000000004,-69.925375,0,9.0,1571.5,1224.5,347.0,-2.7,3.399102,
1_1_1_1_10,13215.2507104607,33238.35683102304,992.9367540699698,279,0,-12.730374999999995,-70.53462499999999,0,23.5,1571.5,1224.5,347.0,12.0,2.6547005,
1_1_1_1_11,4090.245683024133,23318.68779107713,4514.898892178185,356,0,-12.970124999999996,-70.560875,0,0.0,1571.5,1224.5,347.0,0.0,2.0839856,
